From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
Q86194	Q86194	reviewed	NSP1_ROTH3	Non-structural protein 1 (NSP1) (NCVP2) (Non-structural RNA-binding protein 53) (NS53)		Rotavirus A (strain RVA/Human/Japan/AU-1/1982/G3P3[9]) (RV-A)	491	suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]	GO:0003723; GO:0030430; GO:0039548; GO:0039557; GO:0044163; GO:0046872			
B3SRR2	B3SRR2	reviewed	NSP1_ROTH7	Non-structural protein 1 (NSP1) (NCVP2) (Non-structural RNA-binding protein 53) (NS53)		Rotavirus A (isolate RVA/Human/United Kingdom/A64/1987/G10P11[14]) (RV-A)	491	suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]	GO:0003723; GO:0030430; GO:0039548; GO:0039557; GO:0044163; GO:0046872			
A0A075FFX2	A0A075FFX2	unreviewed	A0A075FFX2_EBVG	EBNA-2	EBNA-2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	489								
A0A0C7TYV8	A0A0C7TYV8	unreviewed	A0A0C7TYV8_EBVG	EBNA-2	EBNA-2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	488								
A0A0C7TKT1	A0A0C7TKT1	unreviewed	A0A0C7TKT1_EBVG	EBNA-2	EBNA-2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	488								
A0A0C7TUG9	A0A0C7TUG9	unreviewed	A0A0C7TUG9_EBVG	EBNA-2	EBNA-2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	488								
A0A0C7TN88	A0A0C7TN88	unreviewed	A0A0C7TN88_EBVG	EBNA-2	EBNA-2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	487								
A0A0S2YR23	A0A0S2YR23	unreviewed	A0A0S2YR23_EBVG	EBNA-2 nuclear protein	BYRF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	487								
A0A0X8XBT9	A0A0X8XBT9	unreviewed	A0A0X8XBT9_EBVG	EBNA-2 nuclear protein	BYRF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	487								
A0A0E4D790	A0A0E4D790	unreviewed	A0A0E4D790_EBVG	EBNA-2	EBNA-2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	487								
K9URA4	K9URA4	unreviewed	K9URA4_EBVG	EBNA-2	EBNA-2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	486								
B3SRX6	B3SRX6	reviewed	NSP1_ROTWI	Non-structural protein 1 (NSP1) (NCVP2) (Non-structural RNA-binding protein 53) (NS53)		Rotavirus A (isolate RVA/Human/United States/WI61/1983/G9P1A[8]) (RV-A)	486	suppression by virus of host NF-kappaB cascade [GO:0039644]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; suppression by virus of host NF-kappaB cascade [GO:0039644]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]	GO:0003723; GO:0030430; GO:0039548; GO:0039557; GO:0039644; GO:0044163; GO:0046872			
P30212	P30212	reviewed	NSP1_ROTHI	Non-structural protein 1 (NSP1) (NCVP2) (Non-structural RNA-binding protein 53) (NS53)		Rotavirus A (isolate RVA/Human/Japan/IGV-80-3/XXXX/GXP[X]) (RV-A)	486	suppression by virus of host NF-kappaB cascade [GO:0039644]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; suppression by virus of host NF-kappaB cascade [GO:0039644]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]	GO:0003723; GO:0030430; GO:0039548; GO:0039557; GO:0039644; GO:0044163; GO:0046872			
P35423	P35423	reviewed	NSP1_ROTHD	Non-structural protein 1 (NSP1) (NCVP2) (Non-structural RNA-binding protein 53) (NS53)		Rotavirus A (strain RVA/Human/United States/DS-1/1976/G2P1B[4]) (RV-A) (Rotavirus A (strain DS1))	486	suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]	GO:0003723; GO:0030430; GO:0039548; GO:0039557; GO:0044163; GO:0046872			
Q2I7N0	Q2I7N0	unreviewed	Q2I7N0_9VIRU	Non-structural protein 1 (NSP1) (NCVP2) (Non-structural RNA-binding protein 53) (NS53)		Rotavirus G9	486	suppression by virus of host NF-kappaB cascade [GO:0039644]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]	host cell cytoplasm [GO:0030430]; host cytoskeleton [GO:0044163]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; suppression by virus of host NF-kappaB cascade [GO:0039644]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity [GO:0039557]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]	GO:0003723; GO:0030430; GO:0039548; GO:0039557; GO:0039644; GO:0044163; GO:0046872			
A0A075FDG8	A0A075FDG8	unreviewed	A0A075FDG8_EBVG	EBNA-2	EBNA-2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	485								
A0A075FCH9	A0A075FCH9	unreviewed	A0A075FCH9_EBVG	EBNA-2	EBNA-2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	477								
G3E2P5	G3E2P5	unreviewed	G3E2P5_EBVG	BARF0 protein	BARF0	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	471								
A0A0C7TL19	A0A0C7TL19	unreviewed	A0A0C7TL19_EBVG	EBNA-2	EBNA-2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	470								
A0A0C7T282	A0A0C7T282	unreviewed	A0A0C7T282_EBVG	LF1	LF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	469								
A0A0F6QKC9	A0A0F6QKC9	unreviewed	A0A0F6QKC9_EBVG	EBNA-2 nuclear protein	BYRF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	465								
P01106-2	P01106	reviewed	MYC_HUMAN	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)	MYC BHLHE39	Homo sapiens (Human)	439	branching involved in ureteric bud morphogenesis [GO:0001658]; cellular iron ion homeostasis [GO:0006879]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hypoxia [GO:0071456]; cellular response to UV [GO:0034644]; cellular response to xenobiotic stimulus [GO:0071466]; chromatin remodeling [GO:0006338]; chromosome organization [GO:0051276]; energy reserve metabolic process [GO:0006112]; ERK1 and ERK2 cascade [GO:0070371]; fibroblast apoptotic process [GO:0044346]; G1/S transition of mitotic cell cycle [GO:0000082]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell division [GO:0051782]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of monocyte differentiation [GO:0045656]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oxygen transport [GO:0015671]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of DNA methylation [GO:1905643]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of metanephric cap mesenchymal cell proliferation [GO:0090096]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of response to DNA damage stimulus [GO:2001022]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-DNA complex disassembly [GO:0032986]; regulation of cell cycle process [GO:0010564]; regulation of gene expression [GO:0010468]; regulation of somatic stem cell population maintenance [GO:1904672]; regulation of telomere maintenance [GO:0032204]; regulation of transcription by RNA polymerase II [GO:0006357]; response to gamma radiation [GO:0010332]; response to growth factor [GO:0070848]; response to xenobiotic stimulus [GO:0009410]	chromatin [GO:0000785]; Myc-Max complex [GO:0071943]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA polymerase II transcription repressor complex [GO:0090571]	chromatin [GO:0000785]; Myc-Max complex [GO:0071943]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA polymerase II transcription repressor complex [GO:0090571]; core promoter sequence-specific DNA binding [GO:0001046]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; protein-containing complex binding [GO:0044877]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator binding [GO:0001221]; transcription regulator activator activity [GO:0140537]; branching involved in ureteric bud morphogenesis [GO:0001658]; cellular iron ion homeostasis [GO:0006879]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hypoxia [GO:0071456]; cellular response to UV [GO:0034644]; cellular response to xenobiotic stimulus [GO:0071466]; chromatin remodeling [GO:0006338]; chromosome organization [GO:0051276]; energy reserve metabolic process [GO:0006112]; ERK1 and ERK2 cascade [GO:0070371]; fibroblast apoptotic process [GO:0044346]; G1/S transition of mitotic cell cycle [GO:0000082]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell division [GO:0051782]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of monocyte differentiation [GO:0045656]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oxygen transport [GO:0015671]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of DNA methylation [GO:1905643]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of metanephric cap mesenchymal cell proliferation [GO:0090096]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of response to DNA damage stimulus [GO:2001022]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-DNA complex disassembly [GO:0032986]; regulation of cell cycle process [GO:0010564]; regulation of gene expression [GO:0010468]; regulation of somatic stem cell population maintenance [GO:1904672]; regulation of telomere maintenance [GO:0032204]; regulation of transcription by RNA polymerase II [GO:0006357]; response to gamma radiation [GO:0010332]; response to growth factor [GO:0070848]; response to xenobiotic stimulus [GO:0009410]	core promoter sequence-specific DNA binding [GO:0001046]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; protein-containing complex binding [GO:0044877]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator binding [GO:0001221]; transcription regulator activator activity [GO:0140537]	GO:0000082; GO:0000122; GO:0000165; GO:0000785; GO:0000978; GO:0000981; GO:0001046; GO:0001221; GO:0001227; GO:0001228; GO:0001658; GO:0002053; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005730; GO:0006112; GO:0006338; GO:0006357; GO:0006879; GO:0006974; GO:0008284; GO:0009410; GO:0010332; GO:0010468; GO:0010564; GO:0010628; GO:0015671; GO:0032204; GO:0032873; GO:0032986; GO:0032991; GO:0034644; GO:0043066; GO:0043280; GO:0044346; GO:0044877; GO:0045656; GO:0045893; GO:0045944; GO:0046983; GO:0048146; GO:0048147; GO:0050679; GO:0051276; GO:0051782; GO:0051973; GO:0070371; GO:0070848; GO:0070888; GO:0071456; GO:0071466; GO:0071943; GO:0090096; GO:0090571; GO:0140297; GO:0140537; GO:1902255; GO:1902895; GO:1904672; GO:1905643; GO:2000573; GO:2001022			
A0A0U3TY67	A0A0U3TY67	unreviewed	A0A0U3TY67_EBVG	EBNA-2	EBNA-2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	453								
A0A191T715	A0A191T715	unreviewed	A0A191T715_EBVG	BFRF2	BFRF2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	452	viral process [GO:0016032]	viral tegument [GO:0019033]	viral tegument [GO:0019033]; viral process [GO:0016032]		GO:0016032; GO:0019033			
Q71U36	Q71U36	reviewed	TBA1A_HUMAN	Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 3) (Tubulin B-alpha-1) (Tubulin alpha-3 chain) [Cleaved into: Detyrosinated tubulin alpha-1A chain]	TUBA1A TUBA3	Homo sapiens (Human)	451	adult locomotory behavior [GO:0008344]; cell division [GO:0051301]; cellular response to calcium ion [GO:0071277]; centrosome cycle [GO:0007098]; cerebellar cortex morphogenesis [GO:0021696]; cerebral cortex development [GO:0021987]; cytoskeleton-dependent intracellular transport [GO:0030705]; dentate gyrus development [GO:0021542]; forebrain morphogenesis [GO:0048853]; gene expression [GO:0010467]; glial cell differentiation [GO:0010001]; homeostasis of number of cells within a tissue [GO:0048873]; intracellular protein transport [GO:0006886]; memory [GO:0007613]; microtubule cytoskeleton organization [GO:0000226]; microtubule polymerization [GO:0046785]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]; motor behavior [GO:0061744]; neuron apoptotic process [GO:0051402]; neuron migration [GO:0001764]; neuron projection arborization [GO:0140058]; organelle transport along microtubule [GO:0072384]; regulation of synapse organization [GO:0050807]; response to L-glutamate [GO:1902065]; response to mechanical stimulus [GO:0009612]; response to tumor necrosis factor [GO:0034612]; smoothened signaling pathway [GO:0007224]; startle response [GO:0001964]; synapse organization [GO:0050808]; visual learning [GO:0008542]	condensed chromosome [GO:0000793]; cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; neuromuscular junction [GO:0031594]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]	condensed chromosome [GO:0000793]; cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; neuromuscular junction [GO:0031594]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein-containing complex binding [GO:0044877]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]; adult locomotory behavior [GO:0008344]; cell division [GO:0051301]; cellular response to calcium ion [GO:0071277]; centrosome cycle [GO:0007098]; cerebellar cortex morphogenesis [GO:0021696]; cerebral cortex development [GO:0021987]; cytoskeleton-dependent intracellular transport [GO:0030705]; dentate gyrus development [GO:0021542]; forebrain morphogenesis [GO:0048853]; gene expression [GO:0010467]; glial cell differentiation [GO:0010001]; homeostasis of number of cells within a tissue [GO:0048873]; intracellular protein transport [GO:0006886]; memory [GO:0007613]; microtubule cytoskeleton organization [GO:0000226]; microtubule polymerization [GO:0046785]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]; motor behavior [GO:0061744]; neuron apoptotic process [GO:0051402]; neuron migration [GO:0001764]; neuron projection arborization [GO:0140058]; organelle transport along microtubule [GO:0072384]; regulation of synapse organization [GO:0050807]; response to L-glutamate [GO:1902065]; response to mechanical stimulus [GO:0009612]; response to tumor necrosis factor [GO:0034612]; smoothened signaling pathway [GO:0007224]; startle response [GO:0001964]; synapse organization [GO:0050808]; visual learning [GO:0008542]	GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein-containing complex binding [GO:0044877]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]	GO:0000226; GO:0000278; GO:0000793; GO:0001764; GO:0001964; GO:0005198; GO:0005200; GO:0005525; GO:0005634; GO:0005737; GO:0005829; GO:0005874; GO:0005881; GO:0005886; GO:0006886; GO:0007017; GO:0007098; GO:0007224; GO:0007613; GO:0008344; GO:0008542; GO:0009612; GO:0010001; GO:0010467; GO:0015630; GO:0016787; GO:0021542; GO:0021696; GO:0021987; GO:0030705; GO:0031594; GO:0034612; GO:0036464; GO:0042802; GO:0044877; GO:0046785; GO:0046872; GO:0046982; GO:0048853; GO:0048873; GO:0050807; GO:0050808; GO:0051301; GO:0051402; GO:0055037; GO:0061744; GO:0070062; GO:0071277; GO:0072384; GO:0140058; GO:1902065			TISSUE SPECIFICITY: Expressed at a high level in fetal brain. {ECO:0000269|PubMed:17584854}.
P07437	P07437	reviewed	TBB5_HUMAN	Tubulin beta chain (Tubulin beta-5 chain)	TUBB TUBB5 OK/SW-cl.56	Homo sapiens (Human)	444	cell division [GO:0051301]; cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]; natural killer cell mediated cytotoxicity [GO:0042267]; odontoblast differentiation [GO:0071895]; regulation of synapse organization [GO:0050807]; spindle assembly [GO:0051225]	azurophil granule lumen [GO:0035578]; cell body [GO:0044297]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; intercellular bridge [GO:0045171]; membrane raft [GO:0045121]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]; nuclear envelope lumen [GO:0005641]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]	azurophil granule lumen [GO:0035578]; cell body [GO:0044297]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; intercellular bridge [GO:0045171]; membrane raft [GO:0045121]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]; nuclear envelope lumen [GO:0005641]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; GTP binding [GO:0005525]; GTPase activating protein binding [GO:0032794]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; MHC class I protein binding [GO:0042288]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]; ubiquitin protein ligase binding [GO:0031625]; cell division [GO:0051301]; cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]; natural killer cell mediated cytotoxicity [GO:0042267]; odontoblast differentiation [GO:0071895]; regulation of synapse organization [GO:0050807]; spindle assembly [GO:0051225]	GTP binding [GO:0005525]; GTPase activating protein binding [GO:0032794]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; MHC class I protein binding [GO:0042288]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]; ubiquitin protein ligase binding [GO:0031625]	GO:0000226; GO:0000278; GO:0003924; GO:0005198; GO:0005200; GO:0005525; GO:0005576; GO:0005634; GO:0005641; GO:0005737; GO:0005829; GO:0005856; GO:0005874; GO:0007017; GO:0015630; GO:0019904; GO:0030705; GO:0031625; GO:0032794; GO:0032991; GO:0035578; GO:0036464; GO:0042267; GO:0042288; GO:0044297; GO:0044877; GO:0045121; GO:0045171; GO:0046872; GO:0050807; GO:0051225; GO:0051301; GO:0070062; GO:0071895; GO:0072686		INDUCTION: Autoregulated by feedback control of mRNA degradation (PubMed:31727855). In excess of soluble tubulin, nascent beta-tubulin chain binds TTC5/STRAP cofactor through the MREI motif which triggers cotranslation degradation of tubulin mRNA (PubMed:31727855). {ECO:0000269|PubMed:31727855}.	TISSUE SPECIFICITY: Ubiquitously expressed with highest levels in spleen, thymus and immature brain. {ECO:0000269|PubMed:20191564}.
P08307	P08307	reviewed	CSP_PLAFW	Circumsporozoite protein (CS) [Cleaved into: Circumsporozoite protein C-terminus]	CSP	Plasmodium falciparum (isolate Wellcome)	442		cell surface [GO:0009986]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]		GO:0005737; GO:0005886; GO:0009986			
A0A0C7TNB2	A0A0C7TNB2	unreviewed	A0A0C7TNB2_EBVG	BRRF2	BRRF2	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	441								
Q69146	Q69146	unreviewed	Q69146_EBVG	BWRF1		Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	437								
