From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
PF3D7_0817700	C0H4V4	unreviewed	C0H4V4_PLAF7	Rhoptry neck protein 5	PF3D7_0817700	Plasmodium falciparum (isolate 3D7)	1156		rhoptry neck [GO:1990225]	rhoptry neck [GO:1990225]; host cell surface binding [GO:0046812]	host cell surface binding [GO:0046812]	GO:0046812; GO:1990225			
PF3D7_0108700	Q8I255	unreviewed	Q8I255_PLAF7	Secreted ookinete protein, putative	PF3D7_0108700	Plasmodium falciparum (isolate 3D7)	1152		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_0930100	C0H575	unreviewed	C0H575_PLAF7	Heptatricopeptide repeat-containing protein, putative	PF3D7_0930100	Plasmodium falciparum (isolate 3D7)	1150	mitochondrial RNA processing [GO:0000963]; regulation of mitochondrial mRNA stability [GO:0044528]	membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; ribonucleoprotein granule [GO:0035770]	membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; ribonucleoprotein granule [GO:0035770]; RNA binding [GO:0003723]; mitochondrial RNA processing [GO:0000963]; regulation of mitochondrial mRNA stability [GO:0044528]	RNA binding [GO:0003723]	GO:0000963; GO:0003723; GO:0005759; GO:0016020; GO:0035770; GO:0044528			
PF3D7_1415500	A0A144A1F5	unreviewed	A0A144A1F5_PLAF7	Zinc finger protein	PF3D7_1415500	Plasmodium falciparum (isolate 3D7)	1148		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_1426700	Q8ILJ7	unreviewed	Q8ILJ7_PLAF7	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	PF3D7_1426700	Plasmodium falciparum (isolate 3D7)	1148	carbon fixation [GO:0015977]; tricarboxylic acid cycle [GO:0006099]	cytosol [GO:0005829]	cytosol [GO:0005829]; phosphoenolpyruvate carboxylase activity [GO:0008964]; carbon fixation [GO:0015977]; tricarboxylic acid cycle [GO:0006099]	phosphoenolpyruvate carboxylase activity [GO:0008964]	GO:0005829; GO:0006099; GO:0008964; GO:0015977			
PF3D7_0627700	C6KTB3	unreviewed	C6KTB3_PLAF7	Transportin	PF3D7_0627700	Plasmodium falciparum (isolate 3D7)	1147	protein import into nucleus [GO:0006606]	cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein transmembrane transporter activity [GO:0008320]; small GTPase binding [GO:0031267]; protein import into nucleus [GO:0006606]	nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein transmembrane transporter activity [GO:0008320]; small GTPase binding [GO:0031267]	GO:0005634; GO:0005643; GO:0005737; GO:0006606; GO:0008139; GO:0008320; GO:0031267; GO:0061608			
PF3D7_0935200	Q8I2G8	unreviewed	Q8I2G8_PLAF7	Vacuolar protein sorting-associated protein 33, putative	PF3D7_0935200	Plasmodium falciparum (isolate 3D7)	1147	intracellular protein transport [GO:0006886]; vesicle docking involved in exocytosis [GO:0006904]; vesicle-mediated transport [GO:0016192]	plasma membrane [GO:0005886]; secretory granule [GO:0030141]	plasma membrane [GO:0005886]; secretory granule [GO:0030141]; syntaxin binding [GO:0019905]; intracellular protein transport [GO:0006886]; vesicle docking involved in exocytosis [GO:0006904]; vesicle-mediated transport [GO:0016192]	syntaxin binding [GO:0019905]	GO:0005886; GO:0006886; GO:0006904; GO:0016192; GO:0019905; GO:0030141			
PF3D7_0409600	Q9U0J0	unreviewed	Q9U0J0_PLAF7	Replication protein A1, large subunit	PF3D7_0409600	Plasmodium falciparum (isolate 3D7)	1145	DNA replication [GO:0006260]; DNA unwinding involved in DNA replication [GO:0006268]; DNA-templated DNA replication [GO:0006261]; double-strand break repair via homologous recombination [GO:0000724]; meiotic cell cycle [GO:0051321]; nucleotide-excision repair [GO:0006289]; regulation of DNA metabolic process [GO:0051052]; telomere maintenance via telomerase [GO:0007004]	DNA replication factor A complex [GO:0005662]	DNA replication factor A complex [GO:0005662]; damaged DNA binding [GO:0003684]; metal ion binding [GO:0046872]; single-stranded telomeric DNA binding [GO:0043047]; DNA replication [GO:0006260]; DNA unwinding involved in DNA replication [GO:0006268]; DNA-templated DNA replication [GO:0006261]; double-strand break repair via homologous recombination [GO:0000724]; meiotic cell cycle [GO:0051321]; nucleotide-excision repair [GO:0006289]; regulation of DNA metabolic process [GO:0051052]; telomere maintenance via telomerase [GO:0007004]	damaged DNA binding [GO:0003684]; metal ion binding [GO:0046872]; single-stranded telomeric DNA binding [GO:0043047]	GO:0000724; GO:0003684; GO:0005662; GO:0006260; GO:0006261; GO:0006268; GO:0006289; GO:0007004; GO:0043047; GO:0046872; GO:0051052; GO:0051321			
PF3D7_1107600	Q8IIS6	unreviewed	Q8IIS6_PLAF7	RING-type domain-containing protein	PF3D7_1107600	Plasmodium falciparum (isolate 3D7)	1145	axoneme assembly [GO:0035082]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; axoneme assembly [GO:0035082]		GO:0005737; GO:0035082			
PF3D7_0916200	Q8I2Z0	unreviewed	Q8I2Z0_PLAF7	PRESAN domain-containing protein	PF3D7_0916200	Plasmodium falciparum (isolate 3D7)	1144	tRNA 5'-leader removal [GO:0001682]	membrane [GO:0016020]; mitochondrion [GO:0005739]	membrane [GO:0016020]; mitochondrion [GO:0005739]; ribonuclease P activity [GO:0004526]; tRNA 5'-leader removal [GO:0001682]	ribonuclease P activity [GO:0004526]	GO:0001682; GO:0004526; GO:0005739; GO:0016020			
PF3D7_1350500	A0A5K1K8S2	unreviewed	A0A5K1K8S2_PLAF7	OTU domain-containing protein	PF3D7_1350500	Plasmodium falciparum (isolate 3D7)	1144		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_0517400	Q8I3T4	unreviewed	Q8I3T4_PLAF7	FACT complex subunit	PF3D7_0517400	Plasmodium falciparum (isolate 3D7)	1141	chromatin organization [GO:0006325]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA-templated transcription [GO:0006351]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; transcription elongation by RNA polymerase II promoter [GO:0006368]	FACT complex [GO:0035101]	FACT complex [GO:0035101]; nucleosome binding [GO:0031491]; chromatin organization [GO:0006325]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA-templated transcription [GO:0006351]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; transcription elongation by RNA polymerase II promoter [GO:0006368]	nucleosome binding [GO:0031491]	GO:0006260; GO:0006281; GO:0006325; GO:0006351; GO:0006368; GO:0031491; GO:0032968; GO:0035101			
PF3D7_1104300	Q8IIV9	unreviewed	Q8IIV9_PLAF7	Arabidopsis thaliana BRAHMA ortholog	PF3D7_1104300	Plasmodium falciparum (isolate 3D7)	1141								
PF3D7_1225800	Q8I5F9	unreviewed	Q8I5F9_PLAF7	Ubiquitin-activating enzyme E1 (EC 6.3.2.19)	PF3D7_1225800	Plasmodium falciparum (isolate 3D7)	1140	cellular response to DNA damage stimulus [GO:0006974]; protein modification by small protein conjugation [GO:0032446]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ubiquitin activating enzyme activity [GO:0004839]; cellular response to DNA damage stimulus [GO:0006974]; protein modification by small protein conjugation [GO:0032446]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	ubiquitin activating enzyme activity [GO:0004839]	GO:0004839; GO:0005634; GO:0005737; GO:0006511; GO:0006974; GO:0016567; GO:0032446			
PF3D7_0305200	O97237	reviewed	YGCC1_PLAF7	GRIP and coiled-coil domain-containing protein	PF3D7_0305200 PFC0235w	Plasmodium falciparum (isolate 3D7)	1139								
PF3D7_1011800	Q8IJS7	unreviewed	Q8IJS7_PLAF7	PRE-binding protein	PF3D7_1011800	Plasmodium falciparum (isolate 3D7)	1139	regulation of DNA-templated transcription [GO:0006355]; regulation of gene expression [GO:0010468]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; mRNA binding [GO:0003729]; regulation of DNA-templated transcription [GO:0006355]; regulation of gene expression [GO:0010468]	DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; mRNA binding [GO:0003729]	GO:0003690; GO:0003700; GO:0003729; GO:0005634; GO:0005737; GO:0006355; GO:0010468			
PF3D7_0623700	C6KT73	unreviewed	C6KT73_PLAF7	ATP-dependent RNA helicase SUV3, putative (EC 3.6.4.13)	PF3D7_0623700	Plasmodium falciparum (isolate 3D7)	1137	mitochondrial RNA 3'-end processing [GO:0000965]; RNA catabolic process [GO:0006401]; RNA metabolic process [GO:0016070]	mitochondrial degradosome [GO:0045025]	mitochondrial degradosome [GO:0045025]; hydrolase activity, acting on acid anhydrides [GO:0016817]; RNA helicase activity [GO:0003724]; mitochondrial RNA 3'-end processing [GO:0000965]; RNA catabolic process [GO:0006401]; RNA metabolic process [GO:0016070]	hydrolase activity, acting on acid anhydrides [GO:0016817]; RNA helicase activity [GO:0003724]	GO:0000965; GO:0003724; GO:0006401; GO:0016070; GO:0016817; GO:0045025			
PF3D7_1213900	A0A144A0U7	unreviewed	A0A144A0U7_PLAF7	eIF-2B GDP-GTP exchange factor subunit epsilon	PF3D7_1213900	Plasmodium falciparum (isolate 3D7)	1137		eukaryotic translation initiation factor 2B complex [GO:0005851]	eukaryotic translation initiation factor 2B complex [GO:0005851]; guanyl-nucleotide exchange factor activity [GO:0005085]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	guanyl-nucleotide exchange factor activity [GO:0005085]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	GO:0003743; GO:0005085; GO:0005851; GO:0031369			
PF3D7_1017800	Q8IJM1	unreviewed	Q8IJM1_PLAF7	Heptatricopeptide repeat-containing protein	PF3D7_1017800	Plasmodium falciparum (isolate 3D7)	1136		Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; membrane [GO:0016020]	Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; membrane [GO:0016020]		GO:0005737; GO:0016020; GO:0080008			
PF3D7_1449700	Q8IKX8	unreviewed	Q8IKX8_PLAF7	Exosome complex exonuclease RRP6 (EC 3.1.13.-)	PF3D7_1449700	Plasmodium falciparum (isolate 3D7)	1136	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000467]; histone mRNA catabolic process [GO:0071044]; nuclear polyadenylation-dependent antisense transcript catabolic process [GO:0071040]; nuclear polyadenylation-dependent CUT catabolic process [GO:0071039]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; nuclear polyadenylation-dependent snoRNA catabolic process [GO:0071036]; nuclear polyadenylation-dependent snRNA catabolic process [GO:0071037]; nuclear polyadenylation-dependent tRNA catabolic process [GO:0071038]; polyadenylation-dependent snoRNA 3'-end processing [GO:0071051]	exosome (RNase complex) [GO:0000178]; nuclear exosome (RNase complex) [GO:0000176]; nuclear periphery [GO:0034399]; nucleolus [GO:0005730]	exosome (RNase complex) [GO:0000178]; nuclear exosome (RNase complex) [GO:0000176]; nuclear periphery [GO:0034399]; nucleolus [GO:0005730]; 3'-5'-exoribonuclease activity [GO:0000175]; nucleotide binding [GO:0000166]; single-stranded RNA binding [GO:0003727]; exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000467]; histone mRNA catabolic process [GO:0071044]; nuclear polyadenylation-dependent antisense transcript catabolic process [GO:0071040]; nuclear polyadenylation-dependent CUT catabolic process [GO:0071039]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; nuclear polyadenylation-dependent snoRNA catabolic process [GO:0071036]; nuclear polyadenylation-dependent snRNA catabolic process [GO:0071037]; nuclear polyadenylation-dependent tRNA catabolic process [GO:0071038]; polyadenylation-dependent snoRNA 3'-end processing [GO:0071051]	3'-5'-exoribonuclease activity [GO:0000175]; nucleotide binding [GO:0000166]; single-stranded RNA binding [GO:0003727]	GO:0000166; GO:0000175; GO:0000176; GO:0000178; GO:0000467; GO:0003727; GO:0005730; GO:0034399; GO:0071035; GO:0071036; GO:0071037; GO:0071038; GO:0071039; GO:0071040; GO:0071044; GO:0071051			
PF3D7_1211300	Q8I5T7	unreviewed	Q8I5T7_PLAF7	DNA helicase (EC 3.6.4.12)	PF3D7_1211300	Plasmodium falciparum (isolate 3D7)	1135	DNA replication initiation [GO:0006270]; DNA strand elongation involved in DNA replication [GO:0006271]	MCM complex [GO:0042555]; nuclear pre-replicative complex [GO:0005656]; nucleus [GO:0005634]	MCM complex [GO:0042555]; nuclear pre-replicative complex [GO:0005656]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; single-stranded DNA binding [GO:0003697]; DNA replication initiation [GO:0006270]; DNA strand elongation involved in DNA replication [GO:0006271]	ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; single-stranded DNA binding [GO:0003697]	GO:0003678; GO:0003697; GO:0005524; GO:0005634; GO:0005656; GO:0006270; GO:0006271; GO:0008094; GO:0016787; GO:0042555			
PF3D7_1310400	Q8IEL1	unreviewed	Q8IEL1_PLAF7	Protein-serine/threonine phosphatase	PF3D7_1310400	Plasmodium falciparum (isolate 3D7)	1135								
PF3D7_0811200	Q8IAU7	unreviewed	Q8IAU7_PLAF7	ER membrane protein complex subunit 1	PF3D7_0811200	Plasmodium falciparum (isolate 3D7)	1133		EMC complex [GO:0072546]	EMC complex [GO:0072546]		GO:0072546			
PF3D7_0907200	Q8I379	unreviewed	Q8I379_PLAF7	GTPase-activating protein, putative	PF3D7_0907200	Plasmodium falciparum (isolate 3D7)	1133	activation of GTPase activity [GO:0090630]		GTPase activator activity [GO:0005096]; activation of GTPase activity [GO:0090630]	GTPase activator activity [GO:0005096]	GO:0005096; GO:0090630			
PF3D7_0209600	O96181	unreviewed	O96181_PLAF7	Transporter, putative	PF3D7_0209600	Plasmodium falciparum (isolate 3D7)	1132	sodium ion transmembrane transport [GO:0035725]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; symporter activity [GO:0015293]; sodium ion transmembrane transport [GO:0035725]	symporter activity [GO:0015293]	GO:0005886; GO:0015293; GO:0035725			
PF3D7_1445100	Q8IL22	unreviewed	Q8IL22_PLAF7	histidine--tRNA ligase (EC 6.1.1.21)	PF3D7_1445100	Plasmodium falciparum (isolate 3D7)	1132	histidyl-tRNA aminoacylation [GO:0006427]; mitochondrial translation [GO:0032543]; tRNA aminoacylation for protein translation [GO:0006418]	cytosol [GO:0005829]; mitochondrion [GO:0005739]	cytosol [GO:0005829]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; histidine-tRNA ligase activity [GO:0004821]; histidyl-tRNA aminoacylation [GO:0006427]; mitochondrial translation [GO:0032543]; tRNA aminoacylation for protein translation [GO:0006418]	ATP binding [GO:0005524]; histidine-tRNA ligase activity [GO:0004821]	GO:0004821; GO:0005524; GO:0005739; GO:0005829; GO:0006418; GO:0006427; GO:0032543			
PF3D7_1004300	Q8IJZ4	unreviewed	Q8IJZ4_PLAF7	E3 ubiquitin-protein ligase, putative (EC 6.3.2.-)	PF3D7_1004300	Plasmodium falciparum (isolate 3D7)	1130	ubiquitin-dependent protein catabolic process [GO:0006511]		ubiquitin protein ligase activity [GO:0061630]; ubiquitin-dependent protein catabolic process [GO:0006511]	ubiquitin protein ligase activity [GO:0061630]	GO:0006511; GO:0061630			
PF3D7_1132100	Q8II44	unreviewed	Q8II44_PLAF7	RNA-binding protein, putative	PF3D7_1132100	Plasmodium falciparum (isolate 3D7)	1130			RNA binding [GO:0003723]	RNA binding [GO:0003723]	GO:0003723			
PF3D7_1234600	Q8I576	unreviewed	Q8I576_PLAF7	Protein TOC75, putative	PF3D7_1234600	Plasmodium falciparum (isolate 3D7)	1130		outer membrane [GO:0019867]	outer membrane [GO:0019867]		GO:0019867			
PF3D7_1360700	A0A5K1K9G1	unreviewed	A0A5K1K9G1_PLAF7	E3 SUMO-protein ligase PIAS, putative (EC 2.3.2.27)	PF3D7_1360700	Plasmodium falciparum (isolate 3D7)	1130	protein sumoylation [GO:0016925]		acyltransferase activity [GO:0016746]; ligase activity [GO:0016874]; zinc ion binding [GO:0008270]; protein sumoylation [GO:0016925]	acyltransferase activity [GO:0016746]; ligase activity [GO:0016874]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016746; GO:0016874; GO:0016925			
PF3D7_0629800	C6KTD3	unreviewed	C6KTD3_PLAF7	Cullin-like protein, putative	PF3D7_0629800	Plasmodium falciparum (isolate 3D7)	1129	G1/S transition of mitotic cell cycle [GO:0000082]; protein ubiquitination [GO:0016567]; regulation of cell cycle [GO:0051726]; ubiquitin-dependent protein catabolic process [GO:0006511]	cullin-RING ubiquitin ligase complex [GO:0031461]	cullin-RING ubiquitin ligase complex [GO:0031461]; protein-macromolecule adaptor activity [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]; G1/S transition of mitotic cell cycle [GO:0000082]; protein ubiquitination [GO:0016567]; regulation of cell cycle [GO:0051726]; ubiquitin-dependent protein catabolic process [GO:0006511]	protein-macromolecule adaptor activity [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]	GO:0000082; GO:0006511; GO:0016567; GO:0030674; GO:0031461; GO:0031625; GO:0051726			
PF3D7_1201400	Q8I631	unreviewed	Q8I631_PLAF7	Exported protein	PF3D7_1201400	Plasmodium falciparum (isolate 3D7)	1129		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_0514300	Q8I3W4	unreviewed	Q8I3W4_PLAF7	Aspartate--tRNA ligase, putative (EC 6.1.1.12)	PF3D7_0514300	Plasmodium falciparum (isolate 3D7)	1128	aspartyl-tRNA aminoacylation [GO:0006422]	mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; aspartyl-tRNA aminoacylation [GO:0006422]	aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]	GO:0004815; GO:0005524; GO:0005739; GO:0006422			
PF3D7_0716000	Q8IBU0	unreviewed	Q8IBU0_PLAF7	RNA-binding protein, putative	PF3D7_0716000	Plasmodium falciparum (isolate 3D7)	1125		commitment complex [GO:0000243]; nuclear speck [GO:0016607]; U2-type prespliceosome [GO:0071004]; U2AF complex [GO:0089701]	commitment complex [GO:0000243]; nuclear speck [GO:0016607]; U2-type prespliceosome [GO:0071004]; U2AF complex [GO:0089701]; poly-pyrimidine tract binding [GO:0008187]; pre-mRNA 3'-splice site binding [GO:0030628]	poly-pyrimidine tract binding [GO:0008187]; pre-mRNA 3'-splice site binding [GO:0030628]	GO:0000243; GO:0008187; GO:0016607; GO:0030628; GO:0071004; GO:0089701			
PF3D7_0824200	C0H4X4	unreviewed	C0H4X4_PLAF7	Exonuclease	PF3D7_0824200	Plasmodium falciparum (isolate 3D7)	1124			mRNA binding [GO:0003729]	mRNA binding [GO:0003729]	GO:0003729			
PF3D7_0518500	A0A5K1K868	unreviewed	A0A5K1K868_PLAF7	ATP-dependent RNA helicase DDX23, putative (EC 3.6.4.13)	PF3D7_0518500	Plasmodium falciparum (isolate 3D7)	1123			ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0016787			
PF3D7_0524000	Q8I3M5	unreviewed	Q8I3M5_PLAF7	Karyopherin beta	PF3D7_0524000	Plasmodium falciparum (isolate 3D7)	1123	NLS-bearing protein import into nucleus [GO:0006607]; nucleocytoplasmic transport [GO:0006913]; protein import into nucleus [GO:0006606]	cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]; NLS-bearing protein import into nucleus [GO:0006607]; nucleocytoplasmic transport [GO:0006913]; protein import into nucleus [GO:0006606]	nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]	GO:0005634; GO:0005643; GO:0005737; GO:0006606; GO:0006607; GO:0006913; GO:0008139; GO:0019904; GO:0046982; GO:0061608			
PF3D7_1433100	Q8ILD2	unreviewed	Q8ILD2_PLAF7	HID1 domain-containing protein, putative	PF3D7_1433100	Plasmodium falciparum (isolate 3D7)	1123		Golgi medial cisterna [GO:0005797]; Golgi trans cisterna [GO:0000138]; membrane [GO:0016020]	Golgi medial cisterna [GO:0005797]; Golgi trans cisterna [GO:0000138]; membrane [GO:0016020]		GO:0000138; GO:0005797; GO:0016020			
PF3D7_0216800	O96246	unreviewed	O96246_PLAF7	TMEM121 domain-containing protein, putative	PF3D7_0216800	Plasmodium falciparum (isolate 3D7)	1122		extracellular space [GO:0005615]; membrane [GO:0016020]	extracellular space [GO:0005615]; membrane [GO:0016020]		GO:0005615; GO:0016020			
PF3D7_0211100	O96192	unreviewed	O96192_PLAF7	RAP protein	PF3D7_0211100	Plasmodium falciparum (isolate 3D7)	1121								
PF3D7_0408100	Q9U0K5	unreviewed	Q9U0K5_PLAF7	Asparagine-rich protein	PF3D7_0408100	Plasmodium falciparum (isolate 3D7)	1121			translation initiation factor activity [GO:0003743]	translation initiation factor activity [GO:0003743]	GO:0003743			
PF3D7_0802300	Q8IAM3	unreviewed	Q8IAM3_PLAF7	Periodic tryptophan protein 2, putative	PF3D7_0802300	Plasmodium falciparum (isolate 3D7)	1121	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit assembly [GO:0000028]	Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]	Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit assembly [GO:0000028]		GO:0000028; GO:0000462; GO:0032040; GO:0034388			
PF3D7_1026300	Q8IJD8	unreviewed	Q8IJD8_PLAF7	Chorein_N domain-containing protein	PF3D7_1026300	Plasmodium falciparum (isolate 3D7)	1121								
PF3D7_1217200	A0A144A1F1	unreviewed	A0A144A1F1_PLAF7	Multiple RNA-binding domain-containing protein 1, putative	PF3D7_1217200	Plasmodium falciparum (isolate 3D7)	1119	mRNA splicing, via spliceosome [GO:0000398]	nuclear speck [GO:0016607]	nuclear speck [GO:0016607]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]	RNA binding [GO:0003723]	GO:0000398; GO:0003723; GO:0016607			
PF3D7_1227600	Q8I5E2	unreviewed	Q8I5E2_PLAF7	Allantoicase	PF3D7_1227600	Plasmodium falciparum (isolate 3D7)	1115								
PF3D7_0305800	O97242	unreviewed	O97242_PLAF7	P-loop containing nucleoside triphosphate hydrolase, putative	PF3D7_0305800	Plasmodium falciparum (isolate 3D7)	1114	AMP metabolic process [GO:0046033]; nucleoside triphosphate biosynthetic process [GO:0009142]; phosphorylation [GO:0016310]	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; cytidylate kinase activity [GO:0004127]; hydrolase activity [GO:0016787]; nucleoside triphosphate adenylate kinase activity [GO:0046899]; AMP metabolic process [GO:0046033]; nucleoside triphosphate biosynthetic process [GO:0009142]; phosphorylation [GO:0016310]	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; cytidylate kinase activity [GO:0004127]; hydrolase activity [GO:0016787]; nucleoside triphosphate adenylate kinase activity [GO:0046899]	GO:0004017; GO:0004127; GO:0005524; GO:0005737; GO:0005759; GO:0009142; GO:0016310; GO:0016787; GO:0046033; GO:0046899			
PF3D7_0718600	A0A143ZXK1	unreviewed	A0A143ZXK1_PLAF7	Peptidase_S9_N domain-containing protein	PF3D7_0718600	Plasmodium falciparum (isolate 3D7)	1114								
PF3D7_0910000	Q8I352	unreviewed	Q8I352_PLAF7	SET domain protein, putative (EC 2.1.1.43)	PF3D7_0910000	Plasmodium falciparum (isolate 3D7)	1114	histone lysine methylation [GO:0034968]	nucleus [GO:0005634]	nucleus [GO:0005634]; histone lysine N-methyltransferase activity [GO:0018024]; histone lysine methylation [GO:0034968]	histone lysine N-methyltransferase activity [GO:0018024]	GO:0005634; GO:0018024; GO:0034968			
PF3D7_0513600	Q8I0W8	unreviewed	Q8I0W8_PLAF7	Deoxyribodipyrimidine photo-lyase, putative (EC 4.1.99.3)	PF3D7_0513600	Plasmodium falciparum (isolate 3D7)	1113	DNA repair [GO:0006281]; photoreactive repair [GO:0000719]		deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA repair [GO:0006281]; photoreactive repair [GO:0000719]	deoxyribodipyrimidine photo-lyase activity [GO:0003904]	GO:0000719; GO:0003904; GO:0006281			
PF3D7_1215700	Q8I5Q0	unreviewed	Q8I5Q0_PLAF7	NOT family protein	PF3D7_1215700	Plasmodium falciparum (isolate 3D7)	1113								
PF3D7_1405900	A0A144A153	unreviewed	A0A144A153_PLAF7	RNA-binding protein, putative	PF3D7_1405900	Plasmodium falciparum (isolate 3D7)	1109		cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; mRNA binding [GO:0003729]	mRNA binding [GO:0003729]	GO:0003729; GO:0005634; GO:0005737			
PF3D7_0923400	Q8I2S2	unreviewed	Q8I2S2_PLAF7	Btz domain-containing protein	PF3D7_0923400	Plasmodium falciparum (isolate 3D7)	1104								
PF3D7_1024100	Q8IJG4	unreviewed	Q8IJG4_PLAF7	Ubiquitinyl hydrolase 1	PF3D7_1024100	Plasmodium falciparum (isolate 3D7)	1104								
PF3D7_0523200	Q8I3N2	unreviewed	Q8I3N2_PLAF7	Heptatricopeptide repeat-containing protein, putative	PF3D7_0523200	Plasmodium falciparum (isolate 3D7)	1101								
